segment_id,wl_points,wl_events
mangolpuri-flyover_1312961866_0,1,1
mathura-road_258237309_0,1,2
mathura-road_77339656_0,1,1
mayur-vihar-phase1-flyover_211191571_0,1,1
mehrauli-badarpur-road_1391873334_0,1,2
mehrauli-badarpur-road_168923899_1,1,1
mehrauli-badarpur-road_26664726_0,1,1
mehrauli-badarpur-road_287870802_1,1,7
mehrauli-badarpur-road_45734464_0,1,1
mehrauli-badarpur-road_571904072_0,1,1
mehrauli-badarpur-road_619116078_0,1,1
mehrauli-badarpur-road_688826999_0,1,3
moolchand-underpass_44316338_0,2,2
moolchand-underpass_561759716_0,1,2
moti-bagh-flyover_567831209_0,1,3
moti-bagh-flyover_585446268_0,1,1
najafgarh-nangloi-road_1171106076_0,1,1
najafgarh-nangloi-road_35311044_0,1,1
nangloi-flyover_171505932_0,1,1
naraina-flyover_77862381_0,1,1
national-highway-24-bypass_733740804_0,1,1
nehru-place-flyover_1312196604_0,1,1
nelson-mandela-marg_25744612_0,1,1
nelson-mandela-marg_312127509_0,1,5
nityanand-marg_570896882_0,2,3
nityanand-marg_585446281_0,1,1
nityanand-marg_605840586_0,1,1
nityanand-marg_982296043_0,1,2
okhla-estate-marg-flyover_698298777_0,1,2
outer-ring-road-underpass_77643355_0,2,4
outer-ring-road_1313220166_0,1,1
outer-ring-road_514521566_0,2,3
outer-ring-road_514521566_1,1,1
outer-ring-road_519444403_0,1,1
outer-ring-road_519665087_0,1,2
palam-marg_558065087_0,1,1
pankha-road_601402979_0,1,1
pankha-road_689336454_0,1,1
raja-garden-flyover_619116045_0,2,2
rani-jhansi-flyover_464265868_0,1,5
rao-tula-ram-marg_77364013_1,1,1
ring-road_1313200457_0,1,5
road-number-201_532739767_0,1,1
road-number-57_243056161_0,1,2
rohtak-road_1236250283_1,1,2
rohtak-road_1492081914_0,1,1
rohtak-road_171505929_2,2,2
rohtak-road_239364440_0,1,2
rohtak-road_77766255_0,1,2
rohtak-road_77888924_1,1,7
rohtak-road_77888924_2,2,2
sabz-burj-circle_680551205_0,1,1
sachivalaya-road-flyover_125736543_0,1,1
savitri-flyover_1312193813_0,1,1
shahdara-flyover_1312001710_0,1,1
shahdara-flyover_1312001715_0,3,4
shahdara-flyover_175804059_0,2,5
shalimar-bagh-flyover_364876214_0,1,1
sham-nath-marg_1413413915_1,1,1
shastri-park-flyover_1313008744_0,1,5
south-extension-flyover_564173144_0,1,1
swami-dayanand-marg_1313004537_0,1,1
unnamed_1075088436_0,3,3
unnamed_1118978392_0,2,2
unnamed_1274055800_0,1,2
unnamed_77643474_0,1,1
urban-extension-road-ii_1116285355_0,1,3
urban-extension-road-ii_1430348134_1,1,1
wazirabad-flyover_1013996167_0,1,1
wazirabad-road_1274035952_0,1,3
wazirabad-road_175804069_0,1,1
zakhira-flyover_77770030_0,3,7
zakhira-flyover_77770036_0,2,3
